test_id,test_name,status,reason,mapped_parameter_count
1376,LACTATE LEVEL (BLOOD),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1377,LUPUS ANTICOAGULANT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1379,MTB BY PCR,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
1380,MYCODOT (IgG),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1381,MYCODOT (IgM),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1382,Serum Osmolality,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1383,Total PSA,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1384,ProBNP (N-t) II,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1385,Procalcitonin (PCT),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1389,QuantiFeron-TB Gold Test,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1390,RUBELLA ANTIBODIES (IgG),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1391,RUBELLA ANTIBODIES (IgM),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1392,Serum Ferritin,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1393,Serum Insulin Level (FASTING),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1394,SERUM LITHIUM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1400,TPHA (Syphilis),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1402,Troponin-T,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1404,URIC ACID CREATININE RATIO,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1405,Urine for Microalbuminuria (Spot),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1410,Troponin-I,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1411,Anti Mullerian Hormone (AMH),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1412,H. Pylori IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1423,F.D.P's (D-DIMER),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1624,D-DIMER (F.D.P's),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1672,Urine for Ketones,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1867,SERUM CREATININE,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1917,Serum Albumin,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1918,Albumin Spot Urine,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1920,ALP - Alkaline phosphatase,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1922,Serum Amylase,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1924,Bicarbonate (HCO-3),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1931,C3 (Complement Level 3),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1932,C4 (Complement Level 4),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1933,CPK-Creatine phosphokinase,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1936,Serum Calcium,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1940,CK-MB,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1943,GAMMA GT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1946,HDL (CHOLESTEROL),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1947,L.D.H (FLUID),NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
1948,Serum LDH,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1949,L.D.L (CHOLESTEROL),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
